Tipo de divorcio;Cónyuge que presenta la demanda;Periodo;Total
Total;Total;2021;85.179
Total;Total;2020;76.105
Total;Total;2019;90.546
Total;Total;2018;94.112
Total;Total;2017;96.922
Total;Total;2016;95.501
Total;Total;2015;95.685
Total;Total;2014;99.882
Total;Total;2013;94.885
Divorcio de mutuo acuerdo;Total;2021;66.969
Divorcio de mutuo acuerdo;Total;2020;61.766
Divorcio de mutuo acuerdo;Total;2019;71.370
Divorcio de mutuo acuerdo;Total;2018;73.029
Divorcio de mutuo acuerdo;Total;2017;74.758
Divorcio de mutuo acuerdo;Total;2016;72.959
Divorcio de mutuo acuerdo;Total;2015;72.529
Divorcio de mutuo acuerdo;Total;2014;75.908
Divorcio de mutuo acuerdo;Total;2013;71.499
Divorcio contencioso;Total;2021;18.209
Divorcio contencioso;Total;2020;14.338
Divorcio contencioso;Total;2019;19.176
Divorcio contencioso;Total;2018;21.083
Divorcio contencioso;Total;2017;22.164
Divorcio contencioso;Total;2016;22.542
Divorcio contencioso;Total;2015;23.156
Divorcio contencioso;Total;2014;23.974
Divorcio contencioso;Total;2013;23.386
