Provincias;Periodo;Total
Total;2020;87.481
Total;2019;161.389
Total;2018;162.743
Total;2017;168.989
Total;2016;171.023
Total;2015;165.172
Total;2014;159.279
Total;2013;153.375
Total;2012;165.101
Total;2011;159.798
Total;2010;167.247
Total;2009;174.062
Total;2008;194.022
Total;2007;201.579
Total;2006;203.453
Total;2005;208.146
Total;2004;216.149
Total;2003;212.300
Total;2002;211.522
Total;2001;208.057
Total;2000;216.451
Total;1999;208.129
Total;1998;207.041
Total;1997;196.499
Total;1996;194.084
Total;1995;200.688
Total;1994;199.731
Total;1993;201.463
Total;1992;217.512
Total;1991;218.121
Total;1990;220.533
Total;1989;221.470
Total;1988;219.027
Total;1987;215.771
Total;1986;207.929
Total;1985;199.658
Total;1984;197.542
Total;1983;196.155
Total;1982;193.319
Total;1981;202.037
Total;1980;220.674
Total;1979;246.349
Total;1978;258.070
Total;1977;262.015
Total;1976;260.974
Total;1975;271.347
02 Albacete;2020;552
02 Albacete;2019;1.203
02 Albacete;2018;1.267
02 Albacete;2017;1.367
02 Albacete;2016;1.417
02 Albacete;2015;1.344
02 Albacete;2014;1.300
02 Albacete;2013;1.191
02 Albacete;2012;1.345
02 Albacete;2011;1.309
02 Albacete;2010;1.346
02 Albacete;2009;1.399
02 Albacete;2008;1.483
02 Albacete;2007;1.628
02 Albacete;2006;1.661
02 Albacete;2005;1.720
02 Albacete;2004;1.759
02 Albacete;2003;1.783
02 Albacete;2002;1.738
02 Albacete;2001;1.769
02 Albacete;2000;1.864
02 Albacete;1999;1.872
02 Albacete;1998;1.802
02 Albacete;1997;1.784
02 Albacete;1996;1.706
02 Albacete;1995;1.844
02 Albacete;1994;1.949
02 Albacete;1993;1.963
02 Albacete;1992;1.963
02 Albacete;1991;1.915
02 Albacete;1990;1.876
02 Albacete;1989;2.190
02 Albacete;1988;2.128
02 Albacete;1987;2.089
02 Albacete;1986;2.122
02 Albacete;1985;2.066
02 Albacete;1984;2.088
02 Albacete;1983;2.194
02 Albacete;1982;1.894
02 Albacete;1981;1.946
02 Albacete;1980;2.090
02 Albacete;1979;1.998
02 Albacete;1978;1.991
02 Albacete;1977;1.935
02 Albacete;1976;1.906
02 Albacete;1975;1.943
03 Alicante/Alacant;2020;3.828
03 Alicante/Alacant;2019;6.013
03 Alicante/Alacant;2018;6.273
03 Alicante/Alacant;2017;6.590
03 Alicante/Alacant;2016;6.576
03 Alicante/Alacant;2015;5.977
03 Alicante/Alacant;2014;5.754
03 Alicante/Alacant;2013;5.318
03 Alicante/Alacant;2012;5.538
03 Alicante/Alacant;2011;5.344
03 Alicante/Alacant;2010;5.466
03 Alicante/Alacant;2009;5.877
03 Alicante/Alacant;2008;6.921
03 Alicante/Alacant;2007;7.350
03 Alicante/Alacant;2006;7.606
03 Alicante/Alacant;2005;7.935
03 Alicante/Alacant;2004;8.537
03 Alicante/Alacant;2003;8.113
03 Alicante/Alacant;2002;8.027
03 Alicante/Alacant;2001;7.798
03 Alicante/Alacant;2000;7.998
03 Alicante/Alacant;1999;7.526
03 Alicante/Alacant;1998;7.493
03 Alicante/Alacant;1997;7.247
03 Alicante/Alacant;1996;6.819
03 Alicante/Alacant;1995;7.357
03 Alicante/Alacant;1994;6.891
03 Alicante/Alacant;1993;6.768
03 Alicante/Alacant;1992;7.497
03 Alicante/Alacant;1991;7.239
03 Alicante/Alacant;1990;7.728
03 Alicante/Alacant;1989;6.681
03 Alicante/Alacant;1988;6.723
03 Alicante/Alacant;1987;6.317
03 Alicante/Alacant;1986;5.775
03 Alicante/Alacant;1985;4.759
03 Alicante/Alacant;1984;4.186
03 Alicante/Alacant;1983;4.200
03 Alicante/Alacant;1982;3.866
03 Alicante/Alacant;1981;7.160
03 Alicante/Alacant;1980;7.495
03 Alicante/Alacant;1979;8.234
03 Alicante/Alacant;1978;8.356
03 Alicante/Alacant;1977;8.272
03 Alicante/Alacant;1976;7.947
03 Alicante/Alacant;1975;8.464
04 Almería;2020;1.143
04 Almería;2019;2.091
04 Almería;2018;2.139
04 Almería;2017;2.136
04 Almería;2016;2.216
04 Almería;2015;2.082
04 Almería;2014;1.977
04 Almería;2013;1.954
04 Almería;2012;2.293
04 Almería;2011;2.048
04 Almería;2010;2.128
04 Almería;2009;2.379
04 Almería;2008;2.759
04 Almería;2007;2.836
04 Almería;2006;3.015
04 Almería;2005;2.973
04 Almería;2004;3.006
04 Almería;2003;2.925
04 Almería;2002;2.842
04 Almería;2001;2.758
04 Almería;2000;2.814
04 Almería;1999;2.744
04 Almería;1998;2.683
04 Almería;1997;2.585
04 Almería;1996;2.583
04 Almería;1995;2.614
04 Almería;1994;2.647
04 Almería;1993;2.518
04 Almería;1992;2.662
04 Almería;1991;2.727
04 Almería;1990;2.817
04 Almería;1989;2.875
04 Almería;1988;2.912
04 Almería;1987;2.989
04 Almería;1986;2.780
