Provincias;Periodo;Total
Total;2020;1.504
Total;2019;2.492
Total;2018;2.358
Total;2017;2.323
Total;2016;2.188
Total;2015;1.925
Total;2014;1.679
Total;2013;1.648
Total;2012;1.935
Total;2011;2.073
Total;2010;1.955
Total;2009;1.984
Total;2008;2.051
Total;2007;2.141
Total;2006;3.000
Total;2005;914
02 Albacete;2020;6
02 Albacete;2019;8
02 Albacete;2018;10
02 Albacete;2017;9
02 Albacete;2016;6
02 Albacete;2015;8
02 Albacete;2014;8
02 Albacete;2013;1
02 Albacete;2012;6
02 Albacete;2011;7
02 Albacete;2010;5
02 Albacete;2009;3
02 Albacete;2008;3
02 Albacete;2007;2
02 Albacete;2006;9
02 Albacete;2005;1
03 Alicante/Alacant;2020;82
03 Alicante/Alacant;2019;96
03 Alicante/Alacant;2018;116
03 Alicante/Alacant;2017;137
03 Alicante/Alacant;2016;109
03 Alicante/Alacant;2015;88
03 Alicante/Alacant;2014;91
03 Alicante/Alacant;2013;79
03 Alicante/Alacant;2012;95
03 Alicante/Alacant;2011;86
03 Alicante/Alacant;2010;83
03 Alicante/Alacant;2009;101
03 Alicante/Alacant;2008;90
03 Alicante/Alacant;2007;117
03 Alicante/Alacant;2006;168
03 Alicante/Alacant;2005;39
04 Almería;2020;17
04 Almería;2019;25
04 Almería;2018;19
04 Almería;2017;22
04 Almería;2016;13
04 Almería;2015;16
04 Almería;2014;13
04 Almería;2013;22
04 Almería;2012;9
04 Almería;2011;16
04 Almería;2010;20
04 Almería;2009;11
04 Almería;2008;21
04 Almería;2007;12
04 Almería;2006;30
04 Almería;2005;5
01 Araba/Álava;2020;7
01 Araba/Álava;2019;13
01 Araba/Álava;2018;11
01 Araba/Álava;2017;7
01 Araba/Álava;2016;7
01 Araba/Álava;2015;6
01 Araba/Álava;2014;9
01 Araba/Álava;2013;11
01 Araba/Álava;2012;4
01 Araba/Álava;2011;15
01 Araba/Álava;2010;13
01 Araba/Álava;2009;2
01 Araba/Álava;2008;6
01 Araba/Álava;2007;10
01 Araba/Álava;2006;6
01 Araba/Álava;2005;6
33 Asturias;2020;28
33 Asturias;2019;45
33 Asturias;2018;29
33 Asturias;2017;36
33 Asturias;2016;30
33 Asturias;2015;32
33 Asturias;2014;23
33 Asturias;2013;22
33 Asturias;2012;25
33 Asturias;2011;23
33 Asturias;2010;34
33 Asturias;2009;36
33 Asturias;2008;35
33 Asturias;2007;27
33 Asturias;2006;51
33 Asturias;2005;24
05 Ávila;2020;1
05 Ávila;2019;3
05 Ávila;2018;3
05 Ávila;2017;2
05 Ávila;2016;5
05 Ávila;2015;""
05 Ávila;2014;3
05 Ávila;2013;""
05 Ávila;2012;1
05 Ávila;2011;""
05 Ávila;2010;1
05 Ávila;2009;4
05 Ávila;2008;2
05 Ávila;2007;2
05 Ávila;2006;2
05 Ávila;2005;""
06 Badajoz;2020;6
06 Badajoz;2019;17
06 Badajoz;2018;25
06 Badajoz;2017;18
06 Badajoz;2016;11
06 Badajoz;2015;13
06 Badajoz;2014;9
06 Badajoz;2013;9
06 Badajoz;2012;15
06 Badajoz;2011;14
06 Badajoz;2010;10
06 Badajoz;2009;13
06 Badajoz;2008;7
06 Badajoz;2007;6
06 Badajoz;2006;7
06 Badajoz;2005;2
07 Balears, Illes;2020;57
07 Balears, Illes;2019;114
07 Balears, Illes;2018;110
07 Balears, Illes;2017;84
07 Balears, Illes;2016;78
07 Balears, Illes;2015;72
07 Balears, Illes;2014;63
07 Balears, Illes;2013;75
07 Balears, Illes;2012;56
07 Balears, Illes;2011;82
07 Balears, Illes;2010;71
07 Balears, Illes;2009;86
07 Balears, Illes;2008;56
07 Balears, Illes;2007;87
07 Balears, Illes;2006;95
07 Balears, Illes;2005;33
08 Barcelona;2020;191
08 Barcelona;2019;349
08 Barcelona;2018;410
08 Barcelona;2017;434
08 Barcelona;2016;414
08 Barcelona;2015;365
08 Barcelona;2014;304
08 Barcelona;2013;334
08 Barcelona;2012;413
08 Barcelona;2011;453
08 Barcelona;2010;446
08 Barcelona;2009;466
08 Barcelona;2008;474
08 Barcelona;2007;446
08 Barcelona;2006;636
08 Barcelona;2005;146
48 Bizkaia;2020;32
48 Bizkaia;2019;41
48 Bizkaia;2018;40
48 Bizkaia;2017;31
48 Bizkaia;2016;42
48 Bizkaia;2015;26
48 Bizkaia;2014;26
48 Bizkaia;2013;28
48 Bizkaia;2012;36
