Provincias;Periodo;Total
Total;2020;1.685
Total;2019;2.649
Total;2018;2.512
Total;2017;2.314
Total;2016;2.132
Total;2015;1.813
Total;2014;1.596
Total;2013;1.423
Total;2012;1.520
Total;2011;1.467
Total;2010;1.238
Total;2009;1.098
Total;2008;1.143
Total;2007;1.052
Total;2006;1.313
Total;2005;355
02 Albacete;2020;9
02 Albacete;2019;17
02 Albacete;2018;17
02 Albacete;2017;7
02 Albacete;2016;6
02 Albacete;2015;5
02 Albacete;2014;8
02 Albacete;2013;11
02 Albacete;2012;1
02 Albacete;2011;5
02 Albacete;2010;2
02 Albacete;2009;7
02 Albacete;2008;4
02 Albacete;2007;2
02 Albacete;2006;4
02 Albacete;2005;""
03 Alicante/Alacant;2020;76
03 Alicante/Alacant;2019;117
03 Alicante/Alacant;2018;123
03 Alicante/Alacant;2017;115
03 Alicante/Alacant;2016;87
03 Alicante/Alacant;2015;79
03 Alicante/Alacant;2014;84
03 Alicante/Alacant;2013;68
03 Alicante/Alacant;2012;58
03 Alicante/Alacant;2011;70
03 Alicante/Alacant;2010;39
03 Alicante/Alacant;2009;47
03 Alicante/Alacant;2008;60
03 Alicante/Alacant;2007;39
03 Alicante/Alacant;2006;72
03 Alicante/Alacant;2005;16
04 Almería;2020;21
04 Almería;2019;28
04 Almería;2018;24
04 Almería;2017;21
04 Almería;2016;15
04 Almería;2015;25
04 Almería;2014;11
04 Almería;2013;17
04 Almería;2012;15
04 Almería;2011;19
04 Almería;2010;16
04 Almería;2009;6
04 Almería;2008;14
04 Almería;2007;9
04 Almería;2006;12
04 Almería;2005;1
01 Araba/Álava;2020;14
01 Araba/Álava;2019;15
01 Araba/Álava;2018;15
01 Araba/Álava;2017;16
01 Araba/Álava;2016;13
01 Araba/Álava;2015;12
01 Araba/Álava;2014;16
01 Araba/Álava;2013;5
01 Araba/Álava;2012;6
01 Araba/Álava;2011;10
01 Araba/Álava;2010;5
01 Araba/Álava;2009;10
01 Araba/Álava;2008;3
01 Araba/Álava;2007;3
01 Araba/Álava;2006;8
01 Araba/Álava;2005;2
33 Asturias;2020;14
33 Asturias;2019;34
33 Asturias;2018;21
33 Asturias;2017;29
33 Asturias;2016;18
33 Asturias;2015;22
33 Asturias;2014;26
33 Asturias;2013;14
33 Asturias;2012;19
33 Asturias;2011;23
33 Asturias;2010;20
33 Asturias;2009;16
33 Asturias;2008;27
33 Asturias;2007;22
33 Asturias;2006;20
33 Asturias;2005;7
05 Ávila;2020;1
05 Ávila;2019;3
05 Ávila;2018;5
05 Ávila;2017;2
05 Ávila;2016;3
05 Ávila;2015;2
05 Ávila;2014;1
05 Ávila;2013;3
05 Ávila;2012;2
05 Ávila;2011;4
05 Ávila;2010;7
05 Ávila;2009;""
05 Ávila;2008;1
05 Ávila;2007;1
05 Ávila;2006;2
05 Ávila;2005;1
06 Badajoz;2020;19
06 Badajoz;2019;30
06 Badajoz;2018;22
06 Badajoz;2017;23
06 Badajoz;2016;25
06 Badajoz;2015;11
06 Badajoz;2014;13
06 Badajoz;2013;10
06 Badajoz;2012;24
06 Badajoz;2011;14
06 Badajoz;2010;15
06 Badajoz;2009;6
06 Badajoz;2008;6
06 Badajoz;2007;2
06 Badajoz;2006;3
06 Badajoz;2005;3
07 Balears, Illes;2020;56
07 Balears, Illes;2019;88
07 Balears, Illes;2018;84
07 Balears, Illes;2017;96
07 Balears, Illes;2016;80
07 Balears, Illes;2015;66
07 Balears, Illes;2014;60
07 Balears, Illes;2013;54
07 Balears, Illes;2012;50
07 Balears, Illes;2011;43
07 Balears, Illes;2010;42
07 Balears, Illes;2009;38
07 Balears, Illes;2008;36
07 Balears, Illes;2007;42
07 Balears, Illes;2006;53
07 Balears, Illes;2005;9
08 Barcelona;2020;251
08 Barcelona;2019;400
08 Barcelona;2018;426
08 Barcelona;2017;439
08 Barcelona;2016;381
08 Barcelona;2015;289
08 Barcelona;2014;283
08 Barcelona;2013;253
08 Barcelona;2012;302
08 Barcelona;2011;298
08 Barcelona;2010;253
08 Barcelona;2009;255
08 Barcelona;2008;222
08 Barcelona;2007;213
08 Barcelona;2006;290
08 Barcelona;2005;74
48 Bizkaia;2020;49
48 Bizkaia;2019;59
48 Bizkaia;2018;55
48 Bizkaia;2017;48
48 Bizkaia;2016;45
48 Bizkaia;2015;44
48 Bizkaia;2014;37
48 Bizkaia;2013;34
48 Bizkaia;2012;28
48 Bizkaia;2011;25
48 Bizkaia;2010;29
48 Bizkaia;2009;21
48 Bizkaia;2008;27
48 Bizkaia;2007;23
48 Bizkaia;2006;31
48 Bizkaia;2005;6
09 Burgos;2020;5
09 Burgos;2019;10
09 Burgos;2018;5
09 Burgos;2017;10
09 Burgos;2016;7
09 Burgos;2015;4
09 Burgos;2014;3
09 Burgos;2013;5
09 Burgos;2012;5
09 Burgos;2011;6
09 Burgos;2010;3
09 Burgos;2009;5
09 Burgos;2008;5
09 Burgos;2007;8
09 Burgos;2006;4
09 Burgos;2005;2
10 Cáceres;2020;5
10 Cáceres;2019;13
10 Cáceres;2018;7
10 Cáceres;2017;8
10 Cáceres;2016;7
10 Cáceres;2015;1
10 Cáceres;2014;10
10 Cáceres;2013;4
10 Cáceres;2012;5
10 Cáceres;2011;5
10 Cáceres;2010;6
10 Cáceres;2009;4
10 Cáceres;2008;1
10 Cáceres;2007;""
10 Cáceres;2006;4
10 Cáceres;2005;3
11 Cádiz;2020;47
11 Cádiz;2019;70
11 Cádiz;2018;48
11 Cádiz;2017;74
11 Cádiz;2016;59
11 Cádiz;2015;60
11 Cádiz;2014;47
11 Cádiz;2013;24
11 Cádiz;2012;37
11 Cádiz;2011;30
11 Cádiz;2010;17
11 Cádiz;2009;24
11 Cádiz;2008;22
11 Cádiz;2007;19
11 Cádiz;2006;21
11 Cádiz;2005;12
39 Cantabria;2020;16
39 Cantabria;2019;28
39 Cantabria;2018;21
39 Cantabria;2017;23
39 Cantabria;2016;18
39 Cantabria;2015;11
39 Cantabria;2014;17
39 Cantabria;2013;11
39 Cantabria;2012;11
39 Cantabria;2011;11
39 Cantabria;2010;11
39 Cantabria;2009;7
39 Cantabria;2008;8
39 Cantabria;2007;9
39 Cantabria;2006;11
39 Cantabria;2005;3
12 Castellón/Castelló;2020;19
12 Castellón/Castelló;2019;27
12 Castellón/Castelló;2018;18
12 Castellón/Castelló;2017;17
12 Castellón/Castelló;2016;25
12 Castellón/Castelló;2015;20
12 Castellón/Castelló;2014;9
12 Castellón/Castelló;2013;13
12 Castellón/Castelló;2012;13
12 Castellón/Castelló;2011;18
12 Castellón/Castelló;2010;16
12 Castellón/Castelló;2009;10
12 Castellón/Castelló;2008;12
12 Castellón/Castelló;2007;16
12 Castellón/Castelló;2006;8
12 Castellón/Castelló;2005;3
13 Ciudad Real;2020;9
13 Ciudad Real;2019;15
13 Ciudad Real;2018;13
13 Ciudad Real;2017;10
13 Ciudad Real;2016;12
13 Ciudad Real;2015;10
13 Ciudad Real;2014;6
13 Ciudad Real;2013;5
13 Ciudad Real;2012;5
13 Ciudad Real;2011;3
13 Ciudad Real;2010;3
13 Ciudad Real;2009;6
13 Ciudad Real;2008;8
13 Ciudad Real;2007;2
13 Ciudad Real;2006;4
13 Ciudad Real;2005;""
14 Córdoba;2020;14
14 Córdoba;2019;32
14 Córdoba;2018;30
14 Córdoba;2017;24
14 Córdoba;2016;29
14 Córdoba;2015;25
14 Córdoba;2014;19
14 Córdoba;2013;16
14 Córdoba;2012;14
14 Córdoba;2011;18
14 Córdoba;2010;15
14 Córdoba;2009;6
14 Córdoba;2008;15
14 Córdoba;2007;11
14 Córdoba;2006;13
14 Córdoba;2005;4
15 Coruña, A;2020;22
15 Coruña, A;2019;30
15 Coruña, A;2018;31
15 Coruña, A;2017;31
15 Coruña, A;2016;36
15 Coruña, A;2015;28
15 Coruña, A;2014;29
15 Coruña, A;2013;19
15 Coruña, A;2012;19
15 Coruña, A;2011;17
15 Coruña, A;2010;24
15 Coruña, A;2009;10
15 Coruña, A;2008;7
15 Coruña, A;2007;15
15 Coruña, A;2006;13
15 Coruña, A;2005;11
16 Cuenca;2020;2
16 Cuenca;2019;3
16 Cuenca;2018;4
16 Cuenca;2017;6
16 Cuenca;2016;1
16 Cuenca;2015;2
16 Cuenca;2014;2
16 Cuenca;2013;2
16 Cuenca;2012;4
16 Cuenca;2011;1
16 Cuenca;2010;3
16 Cuenca;2009;""
16 Cuenca;2008;1
16 Cuenca;2007;""
16 Cuenca;2006;1
16 Cuenca;2005;""
20 Gipuzkoa;2020;28
20 Gipuzkoa;2019;42
20 Gipuzkoa;2018;41
20 Gipuzkoa;2017;45
