Tipo de separación;Tipo de matrimonio;Periodo;Total
Total;Total;2021;3.674
Total;Total;2020;2.775
Total;Total;2019;3.599
Total;Total;2018;4.098
Total;Total;2017;4.280
Total;Total;2016;4.353
Total;Total;2015;4.652
Total;Total;2014;5.034
Total;Total;2013;4.900
Total;Entre personas del mismo sexo;2021;68
Total;Entre personas del mismo sexo;2020;4
Total;Entre personas del mismo sexo;2019;19
Total;Entre personas del mismo sexo;2018;11
Total;Entre personas del mismo sexo;2017;24
Total;Entre personas del mismo sexo;2016;36
Total;Entre personas del mismo sexo;2015;9
Total;Entre personas del mismo sexo;2014;9
Total;Entre personas del mismo sexo;2013;4
Total;Entre personas de distinto sexo;2021;3.607
Total;Entre personas de distinto sexo;2020;2.771
Total;Entre personas de distinto sexo;2019;3.580
Total;Entre personas de distinto sexo;2018;4.087
Total;Entre personas de distinto sexo;2017;4.256
Total;Entre personas de distinto sexo;2016;4.317
Total;Entre personas de distinto sexo;2015;4.642
Total;Entre personas de distinto sexo;2014;5.025
Total;Entre personas de distinto sexo;2013;4.896
Separación de mutuo acuerdo;Total;2021;3.230
Separación de mutuo acuerdo;Total;2020;2.469
Separación de mutuo acuerdo;Total;2019;3.120
Separación de mutuo acuerdo;Total;2018;3.488
Separación de mutuo acuerdo;Total;2017;3.587
Separación de mutuo acuerdo;Total;2016;3.706
Separación de mutuo acuerdo;Total;2015;4.013
Separación de mutuo acuerdo;Total;2014;4.306
Separación de mutuo acuerdo;Total;2013;4.111
Separación de mutuo acuerdo;Entre personas del mismo sexo;2021;63
Separación de mutuo acuerdo;Entre personas del mismo sexo;2020;2
Separación de mutuo acuerdo;Entre personas del mismo sexo;2019;19
Separación de mutuo acuerdo;Entre personas del mismo sexo;2018;8
Separación de mutuo acuerdo;Entre personas del mismo sexo;2017;15
Separación de mutuo acuerdo;Entre personas del mismo sexo;2016;34
Separación de mutuo acuerdo;Entre personas del mismo sexo;2015;8
Separación de mutuo acuerdo;Entre personas del mismo sexo;2014;8
Separación de mutuo acuerdo;Entre personas del mismo sexo;2013;4
Separación de mutuo acuerdo;Entre personas de distinto sexo;2021;3.166
Separación de mutuo acuerdo;Entre personas de distinto sexo;2020;2.467
Separación de mutuo acuerdo;Entre personas de distinto sexo;2019;3.101
Separación de mutuo acuerdo;Entre personas de distinto sexo;2018;3.480
Separación de mutuo acuerdo;Entre personas de distinto sexo;2017;3.573
Separación de mutuo acuerdo;Entre personas de distinto sexo;2016;3.672
Separación de mutuo acuerdo;Entre personas de distinto sexo;2015;4.005
Separación de mutuo acuerdo;Entre personas de distinto sexo;2014;4.299
Separación de mutuo acuerdo;Entre personas de distinto sexo;2013;4.106
Separación contenciosa;Total;2021;444
Separación contenciosa;Total;2020;306
Separación contenciosa;Total;2019;479
Separación contenciosa;Total;2018;610
Separación contenciosa;Total;2017;693
Separación contenciosa;Total;2016;647
Separación contenciosa;Total;2015;639
Separación contenciosa;Total;2014;728
Separación contenciosa;Total;2013;790
Separación contenciosa;Entre personas del mismo sexo;2021;4
Separación contenciosa;Entre personas del mismo sexo;2020;2
Separación contenciosa;Entre personas del mismo sexo;2019;0
Separación contenciosa;Entre personas del mismo sexo;2018;3
Separación contenciosa;Entre personas del mismo sexo;2017;10
Separación contenciosa;Entre personas del mismo sexo;2016;3
Separación contenciosa;Entre personas del mismo sexo;2015;2
Separación contenciosa;Entre personas del mismo sexo;2014;1
Separación contenciosa;Entre personas del mismo sexo;2013;0
Separación contenciosa;Entre personas de distinto sexo;2021;440
Separación contenciosa;Entre personas de distinto sexo;2020;304
Separación contenciosa;Entre personas de distinto sexo;2019;479
Separación contenciosa;Entre personas de distinto sexo;2018;607
Separación contenciosa;Entre personas de distinto sexo;2017;683
Separación contenciosa;Entre personas de distinto sexo;2016;645
Separación contenciosa;Entre personas de distinto sexo;2015;637
Separación contenciosa;Entre personas de distinto sexo;2014;726
Separación contenciosa;Entre personas de distinto sexo;2013;790
