Tipo de matrimonio,Periodo,Total,Tipo sexo
Entre personas del mismo sexo,2021,0,mismo
Entre personas del mismo sexo,2020,1,mismo
Entre personas del mismo sexo,2019,4,mismo
Entre personas del mismo sexo,2018,2,mismo
Entre personas del mismo sexo,2017,0,mismo
Entre personas del mismo sexo,2016,2,mismo
Entre personas del mismo sexo,2015,6,mismo
Entre personas del mismo sexo,2014,0,mismo
Entre personas del mismo sexo,2013,3,mismo
Entre personas de distinto sexo,2021,57,distinto
Entre personas de distinto sexo,2020,39,distinto
Entre personas de distinto sexo,2019,71,distinto
Entre personas de distinto sexo,2018,90,distinto
Entre personas de distinto sexo,2017,100,distinto
Entre personas de distinto sexo,2016,115,distinto
Entre personas de distinto sexo,2015,138,distinto
Entre personas de distinto sexo,2014,113,distinto
Entre personas de distinto sexo,2013,107,distinto
