Provincias,Periodo,Total,Sexo,id_gen
02 Albacete,2020,552,Mujer-Hombre,0
02 Albacete,2019,1203,Mujer-Hombre,0
02 Albacete,2018,1267,Mujer-Hombre,0
02 Albacete,2017,1367,Mujer-Hombre,0
02 Albacete,2016,1417,Mujer-Hombre,0
02 Albacete,2015,1344,Mujer-Hombre,0
02 Albacete,2014,1300,Mujer-Hombre,0
02 Albacete,2013,1191,Mujer-Hombre,0
02 Albacete,2012,1345,Mujer-Hombre,0
02 Albacete,2011,1309,Mujer-Hombre,0
02 Albacete,2010,1346,Mujer-Hombre,0
02 Albacete,2009,1399,Mujer-Hombre,0
02 Albacete,2008,1483,Mujer-Hombre,0
02 Albacete,2007,1628,Mujer-Hombre,0
02 Albacete,2006,1661,Mujer-Hombre,0
02 Albacete,2005,1720,Mujer-Hombre,0
03 Alicante/Alacant,2020,3828,Mujer-Hombre,0
03 Alicante/Alacant,2019,6013,Mujer-Hombre,0
03 Alicante/Alacant,2018,6273,Mujer-Hombre,0
03 Alicante/Alacant,2017,6590,Mujer-Hombre,0
03 Alicante/Alacant,2016,6576,Mujer-Hombre,0
03 Alicante/Alacant,2015,5977,Mujer-Hombre,0
03 Alicante/Alacant,2014,5754,Mujer-Hombre,0
03 Alicante/Alacant,2013,5318,Mujer-Hombre,0
03 Alicante/Alacant,2012,5538,Mujer-Hombre,0
03 Alicante/Alacant,2011,5344,Mujer-Hombre,0
03 Alicante/Alacant,2010,5466,Mujer-Hombre,0
03 Alicante/Alacant,2009,5877,Mujer-Hombre,0
03 Alicante/Alacant,2008,6921,Mujer-Hombre,0
03 Alicante/Alacant,2007,7350,Mujer-Hombre,0
03 Alicante/Alacant,2006,7606,Mujer-Hombre,0
03 Alicante/Alacant,2005,7935,Mujer-Hombre,0
04 Almería,2020,1143,Mujer-Hombre,0
04 Almería,2019,2091,Mujer-Hombre,0
04 Almería,2018,2139,Mujer-Hombre,0
04 Almería,2017,2136,Mujer-Hombre,0
04 Almería,2016,2216,Mujer-Hombre,0
04 Almería,2015,2082,Mujer-Hombre,0
04 Almería,2014,1977,Mujer-Hombre,0
04 Almería,2013,1954,Mujer-Hombre,0
04 Almería,2012,2293,Mujer-Hombre,0
04 Almería,2011,2048,Mujer-Hombre,0
04 Almería,2010,2128,Mujer-Hombre,0
04 Almería,2009,2379,Mujer-Hombre,0
04 Almería,2008,2759,Mujer-Hombre,0
04 Almería,2007,2836,Mujer-Hombre,0
04 Almería,2006,3015,Mujer-Hombre,0
04 Almería,2005,2973,Mujer-Hombre,0
01 Araba/Álava,2020,516,Mujer-Hombre,0
01 Araba/Álava,2019,1004,Mujer-Hombre,0
01 Araba/Álava,2018,1092,Mujer-Hombre,0
01 Araba/Álava,2017,1067,Mujer-Hombre,0
01 Araba/Álava,2016,1111,Mujer-Hombre,0
01 Araba/Álava,2015,1187,Mujer-Hombre,0
01 Araba/Álava,2014,1191,Mujer-Hombre,0
01 Araba/Álava,2013,1080,Mujer-Hombre,0
01 Araba/Álava,2012,1186,Mujer-Hombre,0
01 Araba/Álava,2011,1140,Mujer-Hombre,0
01 Araba/Álava,2010,1258,Mujer-Hombre,0
01 Araba/Álava,2009,1205,Mujer-Hombre,0
01 Araba/Álava,2008,1240,Mujer-Hombre,0
