Tipo de matrimonio,Periodo,Total
Entre personas del mismo sexo,2020,1
Entre personas del mismo sexo,2019,4
Entre personas del mismo sexo,2018,2
Entre personas del mismo sexo,2017,0
Entre personas del mismo sexo,2016,2
Entre personas del mismo sexo,2015,6
Entre personas del mismo sexo,2014,0
Entre personas del mismo sexo,2013,3
Entre personas de distinto sexo,2020,39
Entre personas de distinto sexo,2019,71
Entre personas de distinto sexo,2018,90
Entre personas de distinto sexo,2017,100
Entre personas de distinto sexo,2016,115
Entre personas de distinto sexo,2015,138
Entre personas de distinto sexo,2014,113
Entre personas de distinto sexo,2013,107
